state,raceEthnicity,sex_gender_standardized,ageCat,los_cutoff,p,se,p.m,p.lwr,p.upr,nStrata,p.raw
AL,Hispanic,Female,35-49,30,-3.207696080910487,0.08228254532168122,0.04044969883336235,0.034425183419303604,0.04752852340046628,241,0.04564315352697095
AL,Hispanic,Female,35-49,60,-3.9626488200100383,0.11357570882998219,0.01901268634977764,0.015218353402470875,0.023753045594034513,241,0.024896265560165973
AL,Hispanic,Female,35-49,90,-4.559186735487825,0.13222585154384234,0.010470570825426408,0.008080151615433179,0.013568167854780188,241,0.008298755186721992
AL,Hispanic,Female,50-64,30,-4.6676953755831505,0.08819031204571695,0.009393893996768638,0.007902744213912212,0.011166405242773325,154,0.012987012987012988
AL,Hispanic,Female,50-64,60,-5.478072818232874,0.12021155158827022,0.004177372501562066,0.0033004939830747894,0.005287220975494649,154,0
AL,Hispanic,Female,50-64,90,-6.09168481808694,0.1411950047901935,0.0022615953264038,0.0017148632446497903,0.002982636333462298,154,0
AL,Hispanic,Female,65+,30,-7.01492263621507,0.1313214308317081,8.983753108024052e-4,6.94507281680651e-4,0.0011620874544414491,15,0
AL,Hispanic,Female,65+,60,-7.828689483339506,0.17564791692853285,3.9814691670700994e-4,2.8218347599940166e-4,5.61765591418382e-4,15,0
AL,Hispanic,Female,65+,90,-8.622824629766978,0.2358568607083425,1.7995124052059845e-4,1.1334258701058034e-4,2.857041630951959e-4,15,0
AL,Hispanic,Male,<18,30,-7.25635768192856,0.7161893022450926,7.056736482630313e-4,1.7337339782951718e-4,0.0028722705102805267,NA,NA
AL,Hispanic,Male,<18,60,-7.975910283758845,1.0099912420659136,3.4364195065585693e-4,4.746790578809776e-5,0.0024877817609592645,NA,NA
AL,Hispanic,Male,<18,90,-8.053713144651217,1.0120259771797284,3.1791924796416564e-4,4.3739996998264467e-5,0.002310760291778507,NA,NA
AL,Hispanic,Male,18-34,30,-2.4021076754027235,0.08121033246448332,0.09052695064717195,0.0772060851241844,0.1061461513078122,2131,0.08822149225715627
AL,Hispanic,Male,18-34,60,-3.080411696900203,0.11243354151384415,0.04594033925992859,0.03685450597748786,0.05726612568369575,2131,0.05161895823557015
AL,Hispanic,Male,18-34,90,-3.5706471588038218,0.13079985839131883,0.02813763826648023,0.021774620809310592,0.036360067720525295,2131,0.0328484279680901
AL,Hispanic,Male,35-49,30,-2.8614300583513397,0.08206655025730215,0.05718692112789713,0.04869019805167295,0.06716637185615149,2132,0.053939962476547844
AL,Hispanic,Male,35-49,60,-3.511399524501204,0.11333961533356304,0.029855102238084484,0.02390802532918905,0.03728150348570467,2132,0.028611632270168854
AL,Hispanic,Male,35-49,90,-4.017215842583145,0.1319279887018896,0.018003018466109764,0.013901063249631699,0.023315387324755625,2132,0.019230769230769232
AL,Hispanic,Male,50-64,30,-4.321429353024003,0.08794920581449481,0.013280886893376644,0.01117801217559079,0.01577936702017783,2064,0.00436046511627907
AL,Hispanic,Male,50-64,60,-5.02682352272404,0.11994496748571179,0.00655961397701997,0.00518538421328638,0.008298041911198173,2064,0.0033914728682170542
AL,Hispanic,Male,50-64,90,-5.54971392518226,0.1408750321811111,0.0038885695061861188,0.0029503722959444098,0.0051251066942385156,2064,0.001937984496124031
AL,Hispanic,Male,65+,30,-6.668656613655923,0.13113780579224937,0.00127010384561216,9.822330165584717e-4,0.0016423432642194908,948,0.0010548523206751054
AL,Hispanic,Male,65+,60,-7.377440187830672,0.17544417173411045,6.251992319962143e-4,4.432819893024523e-4,8.81772977746592e-4,948,0
AL,Hispanic,Male,65+,90,-8.080853736862297,0.2356498130978444,3.094067706628366e-4,1.9495946681430612e-4,4.910382208994649e-4,948,0
AL,Other or Unknown,Female,<18,30,-7.595975776771664,0.1870703409552175,5.024694194133955e-4,3.4823712811163463e-4,7.250103365333823e-4,NA,NA
