"Gender","Age.Group","Race","p","se","health_outcome"
"Men","65 and over","NH White",0.152771718323819,0.0540986194753115,"MPD_month"
"Women","65 and over","NH White",0.317963447790388,0.0691182207634446,"MPD_month"
"Men","Under 18","Other",0,0,"MPD_month"
"Women","Under 18","Other",0,0,"MPD_month"
"Men","19-34","Other",0.36610201817019,0.0552201481062084,"MPD_month"
"Women","19-34","Other",0.422557824760893,0.0531655389575522,"MPD_month"
"Men","35-49","Other",0.300657724232726,0.0900083764146328,"MPD_month"
"Women","35-49","Other",0.398953264988299,0.0826516379924803,"MPD_month"
"Men","50-64","Other",0.369266204479268,0.127271090670917,"MPD_month"
"Women","50-64","Other",0.205182387337969,0.0689898997055081,"MPD_month"
"Men","65 and over","Other",0.173490494567392,0.128602591345723,"MPD_month"
"Women","65 and over","Other",0.305054062654723,0.144527950232074,"MPD_month"
