Gender,Race,Age,pPopulation,Month,ReincarcRate
Female,Black,24 or younger,0.003520686690908717,10,1.6942074229417137
Female,Black,25-39,0.013238326824741532,10,1.4365510269181694
Female,Black,40-54,0.009298649334112076,10,1.1626619877502509
Female,Black,55-64,9.2593552604127e-4,10,0.7396910538445975
Female,Black,65 or older,3.0864517534708995e-4,10,0.3949366693923846
Female,Hispanic,24 or younger,0.0021280382118107426,10,1.5407058309383557
Female,Hispanic,25-39,0.008429528267592865,10,1.3056839737710981
Female,Hispanic,40-54,0.004107576089012204,10,1.057157330613175
Female,Hispanic,55-64,2.817195878396454e-4,10,0.6728533676153599
Female,Hispanic,65 or older,9.39065292798818e-5,10,0.3582785513817796
Female,Other or Unknown,24 or younger,0.0014112463357541167,10,1.35673485830708
Female,Other or Unknown,25-39,0.005717895036305107,10,1.1516840318874615
Female,Other or Unknown,40-54,0.0031900660284027637,10,0.9314335894671415
Female,Other or Unknown,55-64,2.8122211985828077e-4,10,0.592022950554749
Female,Other or Unknown,65 or older,9.374070661942692e-5,10,0.31777894342611956
Female,White,24 or younger,0.007581333846086383,10,1.6350837137171002
Female,White,25-39,0.033221658377548834,10,1.3859364514959944
Female,White,40-54,0.01917311562577993,10,1.121961096044015
Female,White,55-64,0.0016536416776967897,10,0.7139880884739466
Female,White,65 or older,5.512138925655966e-4,10,0.3806038550910547
Male,Black,24 or younger,0.05582261454281714,10,2.4181443709110337
Male,Black,25-39,0.1375583598940358,10,2.0494529084207067
Male,Black,40-54,0.08729252551313386,10,1.6592753883440339
Male,Black,55-64,0.014220172252793128,10,1.055994365870977
Male,Black,65 or older,0.004740057417597709,10,0.5625424626775127
Male,Hispanic,24 or younger,0.03342290771111982,10,2.200740719654317
Male,Hispanic,25-39,0.09002947168093134,10,1.86415471774718
Male,Hispanic,40-54,0.04318383507533963,10,1.5098519194229223
Male,Hispanic,55-64,0.005667176416127085,10,0.9613176881381198
Male,Hispanic,65 or older,0.0018890588053756953,10,0.5106937681777376
Male,Other or Unknown,24 or younger,0.01620263741779368,10,1.9336308582484942
Male,Other or Unknown,25-39,0.0439632632621121,10,1.6406986252038085
Male,Other or Unknown,40-54,0.025923011193533557,10,1.3273603972742143
Male,Other or Unknown,55-64,0.003937600163757533,10,0.8439329746193276
Male,Other or Unknown,65 or older,0.001312533387919178,10,0.4520324232463298
Male,White,24 or younger,0.04481268946494619,10,2.3348598080343206
Male,White,25-39,0.1510028625571967,10,1.9781581611461885
Male,White,40-54,0.10091908590102662,10,1.6019373407032966
