Gender,Age.Group,Race,n,p.lwr,p.upr,p,health_outcome,se,pred,pred.upr,pred.lwr,pred.se
Men,18-24,Hispanic,12,NA,NA,0,str,0,2.626783157048125e-9,5.67172135807828e-9,1.2165600718456462e-9,0.39272798271988574
Women,18-24,Hispanic,26,NA,NA,0,str,0,0.0018079962206102702,0.014594818365462685,2.214556796267444e-4,1.0721320096098677
Men,25-34,Hispanic,17,NA,NA,0,str,0,3.119514322899269e-9,6.75637286283709e-9,1.4403245334859386e-9,0.39429748356075556
Women,25-34,Hispanic,34,NA,NA,0,str,0,0.0015414337504564017,0.007493837704976077,3.155596706784745e-4,0.8098860491802001
Men,35-44,Hispanic,16,NA,NA,0,str,0,0.0069377102455069825,0.0341184166284647,0.0013797954231086799,0.8268609488898813
Women,35-44,Hispanic,37,1.2751052159203822e-8,0.5029466396996964,0.03815814798802826,str,0.03662849601154023,0.013670543861523174,0.05675446279855799,0.0031824968010133866,0.7490722660005769
Men,45-54,Hispanic,14,1.1347252267761363e-28,0.9996915804323515,0.11161197962513476,str,0.07437880289077538,0.028966183784358265,0.07703487911027644,0.01054887353738772,0.5249581515777413
Women,45-54,Hispanic,30,9.436921552129673e-4,0.2200037411218625,0.04243375687141952,str,0.031202374775849105,0.06138027823578803,0.15059465100132974,0.023552271546219552,0.5088752254058371
Men,55-64,Hispanic,32,4.846998262679975e-6,0.16659934897483375,0.01687553932466287,str,0.016485528762405992,0.03373540463253213,0.09503919738144383,0.011473476968234222,0.5618917617725141
Women,55-64,Hispanic,44,0.004457925743732391,0.1820778345684917,0.04908757381598991,str,0.030417046434457994,0.07846732129624141,0.18160890572576216,0.03163860973607815,0.4887187572078739
Men,65 and over,Hispanic,31,1.5415803708938462e-4,0.6576098756804849,0.1125250193238464,str,0.06907686376426789,0.07031099571387829,0.16050209861456174,0.029047450062222032,0.4731846997977314
Women,65 and over,Hispanic,50,0.0051025679748333145,0.17367633702458019,0.04879391125521171,str,0.027578695189693792,0.08353450944582126,0.14487779876385207,0.04674498887731285,0.3162868402140344
Men,18-24,NH White,14,NA,NA,0,str,0,7.356511895643307e-9,1.0738187244352429e-8,5.039795449792545e-9,0.1929731375568279
Women,18-24,NH White,19,NA,NA,0,str,0,0.0050470047819954665,0.0367937212647798,6.731555792374912e-4,1.0301006425577641
Men,25-34,NH White,24,NA,NA,0,str,0,8.736444096309375e-9,1.3228095672859073e-8,5.769950355600496e-9,0.2116568378544188
Women,25-34,NH White,50,NA,NA,0,str,0,0.004304957635197081,0.01809751229487882,0.0010131979561193252,0.7397871724166677
Men,35-44,NH White,30,4.130135422225249e-6,0.18726604458720064,0.018681564583050852,str,0.018579522113063726,0.019189882905905432,0.0746784001464106,0.00472081943682478,0.7229955378431343
