state,los_cutoff,p,se,p.m,p.lwr,p.upr,nStrata,p.raw
UT,90,-2.4847410150959814,0.2583069986517233,0.08334713736751682,0.050236499771225754,0.13828083841419714,38444,0.08302986161689731
VA,30,-1.3361881458058984,0.08921613589568993,0.26284569084897136,0.22067846221368767,0.3130702312533507,72563,0.29200832380138636
VA,60,-1.8317629395792696,0.11377633288224089,0.1601310174802186,0.12812352333815463,0.20013454275350864,72563,0.1758058514670011
VA,90,-2.2487957517739283,0.12790262661323165,0.10552622784746449,0.08212766982148612,0.1355911447131021,72563,0.1105384286757714
WA,30,-1.985995995120205,0.12809480592837608,0.13724385181428178,0.1067722517438353,0.1764117039135879,22394,0.14463695632758775
WA,60,-2.6568283018736185,0.1728104020628682,0.0701704285887449,0.050010091392388226,0.09845790941860957,22394,0.06698222738233456
WA,90,-3.1403638639562668,0.20461831194154745,0.04326705171679134,0.02897249388149093,0.06461431217902326,22394,0.038001250334911134
WI,30,-1.6596453089259007,0.09566094317637629,0.19020643266230433,0.15768793211198412,0.2294309180262894,38024,0.18782873974332
WI,60,-2.313132659801831,0.12446663125066135,0.09895078637180951,0.07753058507623665,0.12628897504090336,38024,0.10851041447506837
WI,90,-2.8228597358064227,0.1382523661760076,0.059435728959477976,0.04532804268109766,0.07793422499616706,38024,0.06566905112560488
WV,30,-1.8754863882919337,0.4074615784798415,0.15328039492147058,0.0689691202479251,0.34065795507937935,4893,0.15328019619865113
WV,60,-2.2021994068928556,NA,0.11055972493479271,NA,NA,4893,0
WV,90,-2.733883473546901,NA,0.06496650344395771,NA,NA,4893,0
WY,30,-1.19446657199073,0.17071014658990297,0.30286546802399417,0.21674097303144466,0.4232125123295689,3518,0.27600909607731666
WY,60,-1.9397973969193179,0.24164476592667072,0.14373306759021373,0.0895093280429935,0.23080493587182155,3518,0.12620807276861853
WY,90,-2.3809479322311886,0.2740493424406993,0.09246288740361171,0.05403762188639531,0.15821172821014537,3518,0.08555997725980671
NA,30,-1.620951253632923,0.03883682301157874,0.1977105367364076,0.18321956657262412,0.2133476083795024,NA,NA
NA,60,-2.2431827790630665,0.05346627937604826,0.10612020912553435,0.09556250327448527,0.11784432595387977,NA,NA
NA,90,-2.707314514331037,0.06494483925215895,0.06671573049700408,0.05874177943569566,0.0757721120896815,NA,NA
