state,"Male; 18-24; White, non-Hispanic","Male; 18-24; Black, non-Hispanic","Male; 18-24; Hispanic, any race","Male; 18-24; Other race(s), non-Hispanic",Male; 18-24; Missing race,"Male; 25-34; White, non-Hispanic","Male; 25-34; Black, non-Hispanic","Male; 25-34; Hispanic, any race","Male; 25-34; Other race(s), non-Hispanic",Male; 25-34; Missing race,"Male; 35-44; White, non-Hispanic","Male; 35-44; Black, non-Hispanic","Male; 35-44; Hispanic, any race","Male; 35-44; Other race(s), non-Hispanic",Male; 35-44; Missing race,"Male; 45-54; White, non-Hispanic","Male; 45-54; Black, non-Hispanic","Male; 45-54; Hispanic, any race","Male; 45-54; Other race(s), non-Hispanic",Male; 45-54; Missing race,"Male; 55+; White, non-Hispanic","Male; 55+; Black, non-Hispanic","Male; 55+; Hispanic, any race","Male; 55+; Other race(s), non-Hispanic",Male; 55+; Missing race,"Male; NA age; White, non-Hispanic","Male; NA age; Black, non-Hispanic","Male; NA age; Hispanic, any race","Male; NA age; Other race(s), non-Hispanic",Male; NA age; Missing race,"Female; 18-24; White, non-Hispanic","Female; 18-24; Black, non-Hispanic","Female; 18-24; Hispanic, any race","Female; 18-24; Other race(s), non-Hispanic",Female; 18-24; Missing race,"Female; 25-34; White, non-Hispanic","Female; 25-34; Black, non-Hispanic","Female; 25-34; Hispanic, any race","Female; 25-34; Other race(s), non-Hispanic",Female; 25-34; Missing race,"Female; 35-44; White, non-Hispanic","Female; 35-44; Black, non-Hispanic","Female; 35-44; Hispanic, any race","Female; 35-44; Other race(s), non-Hispanic",Female; 35-44; Missing race,"Female; 45-54; White, non-Hispanic","Female; 45-54; Black, non-Hispanic","Female; 45-54; Hispanic, any race","Female; 45-54; Other race(s), non-Hispanic",Female; 45-54; Missing race,"Female; 55+; White, non-Hispanic","Female; 55+; Black, non-Hispanic","Female; 55+; Hispanic, any race","Female; 55+; Other race(s), non-Hispanic",Female; 55+; Missing race,"Female; NA age; White, non-Hispanic","Female; NA age; Black, non-Hispanic","Female; NA age; Hispanic, any race","Female; NA age; Other race(s), non-Hispanic",Female; NA age; Missing race,RELYR
Pennsylvania,1016,1164,219,5,6,4342,3748,915,20,26,2720,2340,833,19,6,1726,1574,360,9,8,830,763,141,3,3,0,0,0,0,0,129,32,2,1,4,863,164,49,4,3,439,123,47,5,0,264,113,25,0,0,62,36,9,0,0,0,0,0,0,0,2016
Rhode Island,197,189,170,27,1,517,313,291,35,0,341,166,122,18,1,329,95,58,17,0,86,40,6,3,0,0,0,0,0,0,25,6,8,2,0,113,16,8,3,0,64,6,10,3,0,34,1,8,0,0,15,2,2,0,0,0,0,0,0,0,2016
South Carolina,394,829,16,14,7,1031,1650,53,18,8,878,1079,31,17,5,561,705,12,11,3,226,329,3,3,3,0,0,0,0,0,70,36,0,3,1,293,113,3,0,8,234,70,6,1,5,104,52,0,5,10,32,18,0,0,1,0,0,0,0,0,2016
South Dakota,279,24,23,238,3,564,78,53,384,11,318,51,28,196,5,231,27,8,109,5,85,8,4,35,1,0,0,0,0,0,35,0,0,23,2,88,6,1,102,0,52,1,3,36,0,35,1,0,22,0,8,1,0,5,0,0,0,0,0,0,2012
Tennessee,694,875,33,0,6,2691,1821,90,3,8,2088,1099,43,1,5,1085,679,23,6,1,442,357,4,0,0,0,0,0,0,0,148,45,1,1,0,933,184,8,1,1,648,96,5,1,1,283,48,1,2,0,55,15,1,0,0,0,0,0,0,0,2016
Texas,2515,2889,3949,43,1,7410,6576,8575,112,0,5657,4639,5489,88,0,4289,3783,3036,40,0,2289,2316,1407,23,0,0,0,0,0,0,589,330,378,5,0,2523,1060,1339,19,3,1982,792,850,13,1,1130,474,364,5,1,309,205,79,2,0,0,0,0,0,0,2016
Utah,154,14,77,16,4,839,71,313,59,10,634,50,146,32,4,353,33,68,8,6,137,19,29,3,1,0,0,0,0,0,34,1,7,2,0,202,6,40,7,1,131,3,31,1,2,42,3,9,3,1,11,0,2,1,0,0,0,0,0,0,2016
Vermont,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,24,33,49,0,1085,153,201,117,1,3157,211,238,65,2,2263,156,174,36,0,1675,98,130,12,1,801,0,0,0,0,0,4,1,3,1,109,62,14,7,0,581,47,19,5,0,439,32,11,0,1,316,13,7,0,0,99,0,0,0,0,0,2016
Washington,599,181,1,93,4,1860,380,110,267,13,1308,265,149,162,8,854,222,91,107,1,426,86,37,39,1,0,0,0,0,0,70,9,0,16,0,286,26,17,57,0,185,22,16,41,0,126,8,4,12,0,42,4,0,6,1,0,0,0,0,0,2016
West Virginia,351,71,2,11,6,886,160,2,12,4,685,84,1,11,0,299,46,0,1,0,187,22,0,4,1,2,0,0,0,0,69,5,0,3,0,246,14,1,1,1,141,6,0,1,1,66,6,0,1,0,20,1,0,0,0,0,0,0,0,0,2016
Wisconsin,497,623,106,60,0,1618,1126,261,199,0,913,658,162,97,1,738,442,75,54,0,449,176,30,17,0,0,0,0,0,0,64,23,4,11,0,261,68,10,24,0,139,43,7,13,0,81,28,5,11,0,27,12,2,2,0,0,0,0,0,0,2016
Wyoming,133,7,36,7,0,270,16,32,15,0,130,16,30,17,0,100,8,18,8,0,59,8,5,2,0,0,0,0,0,0,7,1,0,1,0,54,2,8,6,0,37,0,3,2,0,18,0,2,1,0,7,0,0,0,0,0,0,0,0,0,2016
