state,sex_gender_standardized,los_cutoff,p,se,p.m,p.lwr,p.upr,nStrata,p.raw
NH,Female,7,-0.8786826600329292,0.2603376537893364,0.41532968185082453,0.24934068987128138,0.6918194728480023,263,0.4144486692015209
NH,Female,14,-1.1987937238831952,0.33537541887423106,0.3015577545188509,0.15627820945068369,0.5818922524777732,263,0.2889733840304182
NH,Female,30,-1.6659032775940208,0.43176689115682076,0.18901984345770922,0.08109363259285055,0.4405833118878786,263,0.18250950570342206
NH,Female,60,-2.567015479612283,0.45941346643797715,0.07676430852387583,0.031196501313467837,0.18889166461127596,263,0.060836501901140684
NH,Female,90,-3.4898139071311793,0.5299766529343272,0.030506548694185204,0.010796329545338174,0.08620054707690404,263,0.019011406844106463
NH,Unknown Gender,3,-0.6100177691120949,0.1979209036655163,0.5433412142977789,0.36863967147943555,0.8008353359523155,NA,NA
NH,Unknown Gender,7,-0.9325983067761441,0.2610335862190656,0.3935298694947465,0.23593127251611007,0.6564019959413288,NA,NA
NH,Unknown Gender,14,-1.2582347631448343,0.3363065995727003,0.2841551852432693,0.14699104887407935,0.5493135120751919,NA,NA
NH,Unknown Gender,30,-1.709050027757525,0.43315303429504626,0.18103769173649006,0.07745839118222665,0.42312582702849594,NA,NA
NH,Unknown Gender,60,-2.455944639484979,0.46178624585615785,0.08578212397412972,0.034699533014370315,0.21206547046225416,NA,NA
NH,Unknown Gender,90,-3.260672870168367,0.5327678570695371,0.03836257629802128,0.013502523539630697,0.10899349709719192,NA,NA
NH,Trans,3,-0.8596813258259278,0.27440573252718936,0.42329695463385064,0.24721257653785314,0.7248025740100491,NA,NA
NH,Trans,7,-1.2740296264425546,0.35282990152660876,0.27970225224623557,0.1400769273650342,0.5585027554733849,NA,NA
NH,Trans,14,-1.5295431305989058,0.43758313601208876,0.2166346184387982,0.09188749621949469,0.5107393262084226,NA,NA
NH,Trans,30,-1.997583535653945,0.5782850539311701,0.1356627115734388,0.04367403954512686,0.4214030005729479,NA,NA
NH,Trans,60,-2.682886957573076,0.6928169718101543,0.06836550068303004,0.017583694236624026,0.26580544570130854,NA,NA
NH,Trans,90,-3.085125599993948,0.7464650775105605,0.04572429056892588,0.01058655723963186,0.19748731345869217,NA,NA
NJ,Male,3,-0.47309263002937224,0.07480518758069474,0.6230723532941078,0.538101484588989,0.7214608555410061,9887,0.6140386365935067
NJ,Male,7,-0.9527065591755015,0.09896261843546578,0.38569570124026503,0.31769301403866984,0.46825447013799454,9887,0.383533933447962
NJ,Male,14,-1.36770305372456,0.1277458380348442,0.2546913004299959,0.19827897100521744,0.3271534958339859,9887,0.2655001517143724
NJ,Male,30,-1.7384559810263878,0.16527027105600287,0.17579161677336974,0.1271510206502025,0.2430392801392434,9887,0.19146353797916457
NJ,Male,60,-2.144861921794222,0.18415206906603468,0.1170842027046724,0.08161082676725276,0.16797661616742238,9887,0.1291595023768585
NJ,Male,90,-2.4769714429330154,0.21033497072392063,0.0839972311709223,0.05561955615056302,0.1268534906190534,9887,0.09021948012541721
NJ,Female,3,-0.5684913354028331,0.07484650884335077,0.5663792708188972,0.4891002515600739,0.6558685614864074,1972,0.537525354969574
