"","state","ageCat","sex","race","releases"
"275","CO","55+","Female","Hispanic",10
"276","CO","55+","Female","Other or Unknown",0
"277","CO","55+","Female","White",26
"278","CO","55+","Male","Black",113
"279","CO","55+","Male","Hispanic",116
"280","CO","55+","Male","Other or Unknown",0
"281","CO","55+","Male","White",350
"282","CO","Under 18","Female","Black",0
"283","CO","Under 18","Female","Hispanic",2.48644354022225
"284","CO","Under 18","Female","Other or Unknown",0
"285","CO","Under 18","Female","White",0
"286","CO","Under 18","Male","Black",0
"287","CO","Under 18","Male","Hispanic",11.6999248585196
"288","CO","Under 18","Male","Other or Unknown",0
"289","CO","Under 18","Male","White",0
"290","CT","18-24","Female","Black",39
"291","CT","18-24","Female","Hispanic",1
"292","CT","18-24","Female","Other or Unknown",0
"293","CT","18-24","Female","White",75
"294","CT","18-24","Male","Black",567
"295","CT","18-24","Male","Hispanic",7
"296","CT","18-24","Male","Other or Unknown",0
"297","CT","18-24","Male","White",384
"298","CT","25-34","Female","Black",116
"299","CT","25-34","Female","Hispanic",2
"300","CT","25-34","Female","Other or Unknown",0
"301","CT","25-34","Female","White",276
"302","CT","25-34","Male","Black",1052
"303","CT","25-34","Male","Hispanic",13
"304","CT","25-34","Male","Other or Unknown",0
"305","CT","25-34","Male","White",1223
"306","CT","35-44","Female","Black",74
"307","CT","35-44","Female","Hispanic",3
"308","CT","35-44","Female","Other or Unknown",0
"309","CT","35-44","Female","White",192
"310","CT","35-44","Male","Black",687
"311","CT","35-44","Male","Hispanic",6
"312","CT","35-44","Male","Other or Unknown",0
"313","CT","35-44","Male","White",773
"314","CT","45-54","Female","Black",63
"315","CT","45-54","Female","Hispanic",3
"316","CT","45-54","Female","Other or Unknown",0
"317","CT","45-54","Female","White",170
"318","CT","45-54","Male","Black",456
"319","CT","45-54","Male","Hispanic",6
"320","CT","45-54","Male","Other or Unknown",0
"321","CT","45-54","Male","White",758
"322","CT","55+","Female","Black",10
"323","CT","55+","Female","Hispanic",0
"324","CT","55+","Female","Other or Unknown",0
"325","CT","55+","Female","White",68
"326","CT","55+","Male","Black",157
"327","CT","55+","Male","Hispanic",0
"328","CT","55+","Male","Other or Unknown",0
"329","CT","55+","Male","White",395
"330","CT","Under 18","Female","Black",0
"331","CT","Under 18","Female","Hispanic",0
"332","CT","Under 18","Female","Other or Unknown",0
"333","CT","Under 18","Female","White",0
"334","CT","Under 18","Male","Black",0
"335","CT","Under 18","Male","Hispanic",0
"336","CT","Under 18","Male","Other or Unknown",0
"337","CT","Under 18","Male","White",0
"338","CT",NA,NA,NA,0
"339","DC","18-24","Female","Black",8
"340","DC","18-24","Female","Hispanic",1
"341","DC","18-24","Female","Other or Unknown",0
"342","DC","18-24","Female","White",1
"343","DC","18-24","Male","Black",354
"344","DC","18-24","Male","Hispanic",9
"345","DC","18-24","Male","Other or Unknown",0
"346","DC","18-24","Male","White",1
"347","DC","25-34","Female","Black",34
"348","DC","25-34","Female","Hispanic",0
"349","DC","25-34","Female","Other or Unknown",0
"350","DC","25-34","Female","White",2
"351","DC","25-34","Male","Black",585
"352","DC","25-34","Male","Hispanic",20
"353","DC","25-34","Male","Other or Unknown",0
"354","DC","25-34","Male","White",6
"355","DC","35-44","Female","Black",31
"356","DC","35-44","Female","Hispanic",0
"357","DC","35-44","Female","Other or Unknown",0
"358","DC","35-44","Female","White",0
"359","DC","35-44","Male","Black",374
"360","DC","35-44","Male","Hispanic",9
"361","DC","35-44","Male","Other or Unknown",0
"362","DC","35-44","Male","White",7
"363","DC","45-54","Female","Black",34
"364","DC","45-54","Female","Hispanic",0
"365","DC","45-54","Female","Other or Unknown",0
"366","DC","45-54","Female","White",0
"367","DC","45-54","Male","Black",339
"368","DC","45-54","Male","Hispanic",9
"369","DC","45-54","Male","Other or Unknown",0
"370","DC","45-54","Male","White",5
"371","DC","55+","Female","Black",5
"372","DC","55+","Female","Hispanic",0
"373","DC","55+","Female","Other or Unknown",0
"374","DC","55+","Female","White",0
"375","DC","55+","Male","Black",194
"376","DC","55+","Male","Hispanic",1
"377","DC","55+","Male","Other or Unknown",0
"378","DC","55+","Male","White",3
"379","DC","Under 18","Female","Black",0
"380","DC","Under 18","Female","Hispanic",0
"381","DC","Under 18","Female","Other or Unknown",0
"382","DC","Under 18","Female","White",0
"383","DC","Under 18","Male","Black",0
"384","DC","Under 18","Male","Hispanic",0
"385","DC","Under 18","Male","Other or Unknown",0
"386","DC","Under 18","Male","White",0
"387","DC",NA,NA,NA,0
"388","DE","18-24","Female","Black",132
"389","DE","18-24","Female","Hispanic",14
"390","DE","18-24","Female","Other or Unknown",0
"391","DE","18-24","Female","White",224
"392","DE","18-24","Male","Black",1056
"393","DE","18-24","Male","Hispanic",88
"394","DE","18-24","Male","Other or Unknown",0
"395","DE","18-24","Male","White",533
"396","DE","25-34","Female","Black",219
"397","DE","25-34","Female","Hispanic",16
"398","DE","25-34","Female","Other or Unknown",2
"399","DE","25-34","Female","White",562
"400","DE","25-34","Male","Black",1353
"401","DE","25-34","Male","Hispanic",91
"402","DE","25-34","Male","Other or Unknown",0
"403","DE","25-34","Male","White",1464
"404","DE","35-44","Female","Black",95
"405","DE","35-44","Female","Hispanic",10
"406","DE","35-44","Female","Other or Unknown",0
"407","DE","35-44","Female","White",273
"408","DE","35-44","Male","Black",688
"409","DE","35-44","Male","Hispanic",72
"410","DE","35-44","Male","Other or Unknown",1
"411","DE","35-44","Male","White",818
"412","DE","45-54","Female","Black",51
"413","DE","45-54","Female","Hispanic",4
"414","DE","45-54","Female","Other or Unknown",1
"415","DE","45-54","Female","White",103
"416","DE","45-54","Male","Black",517
"417","DE","45-54","Male","Hispanic",34
"418","DE","45-54","Male","Other or Unknown",0
"419","DE","45-54","Male","White",445
"420","DE","55+","Female","Black",14
"421","DE","55+","Female","Hispanic",0
"422","DE","55+","Female","Other or Unknown",0
"423","DE","55+","Female","White",28
"424","DE","55+","Male","Black",176
"425","DE","55+","Male","Hispanic",14
"426","DE","55+","Male","Other or Unknown",0
"427","DE","55+","Male","White",190
"428","DE","Under 18","Female","Black",0
"429","DE","Under 18","Female","Hispanic",0
"430","DE","Under 18","Female","Other or Unknown",0
"431","DE","Under 18","Female","White",0
"432","DE","Under 18","Male","Black",0
"433","DE","Under 18","Male","Hispanic",0
"434","DE","Under 18","Male","Other or Unknown",0
"435","DE","Under 18","Male","White",0
"436","DE",NA,NA,NA,0
"437","FL","18-24","Female","Black",120
"438","FL","18-24","Female","Hispanic",174.845033534782
"439","FL","18-24","Female","Other or Unknown",5
"440","FL","18-24","Female","White",176
"441","FL","18-24","Male","Black",2126
"442","FL","18-24","Male","Hispanic",1333.23210944097
"443","FL","18-24","Male","Other or Unknown",79
"444","FL","18-24","Male","White",1110
"445","FL","25-34","Female","Black",344
"446","FL","25-34","Female","Hispanic",442.142021968617
"447","FL","25-34","Female","Other or Unknown",14
"448","FL","25-34","Female","White",1029
"449","FL","25-34","Male","Black",4394
"450","FL","25-34","Male","Hispanic",3333.10902746144
"451","FL","25-34","Male","Other or Unknown",119
"452","FL","25-34","Male","White",3983
"453","FL","35-44","Female","Black",245
"454","FL","35-44","Female","Hispanic",326.221361724219
"455","FL","35-44","Female","Other or Unknown",7
"456","FL","35-44","Female","White",748
"457","FL","35-44","Male","Black",3011
"458","FL","35-44","Male","Hispanic",2481.98990083986
"459","FL","35-44","Male","Other or Unknown",58
"460","FL","35-44","Male","White",3063
"461","FL","45-54","Female","Black",184
"462","FL","45-54","Female","Hispanic",131.58623172332
"463","FL","45-54","Female","Other or Unknown",0
"464","FL","45-54","Female","White",421
"465","FL","45-54","Male","Black",1960
"466","FL","45-54","Male","Hispanic",1201.27703946249
"467","FL","45-54","Male","Other or Unknown",39
"468","FL","45-54","Male","White",2300
"469","FL","55+","Female","Black",61
"470","FL","55+","Female","Hispanic",10
"471","FL","55+","Female","Other or Unknown",4
"472","FL","55+","Female","White",135
"473","FL","55+","Male","Black",1086
"474","FL","55+","Male","Hispanic",315
"475","FL","55+","Male","Other or Unknown",23
"476","FL","55+","Male","White",1320
"477","FL","Under 18","Female","Black",0
